"Código Municipio","Nombre Departamento","Nombre Municipio"
"05001","ANTIOQUIA","MEDELLÍN"
"05002","ANTIOQUIA","ABEJORRAL"
"05004","ANTIOQUIA","ABRIAQUÍ"
"05021","ANTIOQUIA","ALEJANDRÍA"
"05030","ANTIOQUIA","AMAGÁ"
"05031","ANTIOQUIA","AMALFI"
"05034","ANTIOQUIA","ANDES"
"05036","ANTIOQUIA","ANGELÓPOLIS"
"05038","ANTIOQUIA","ANGOSTURA"
"05040","ANTIOQUIA","ANORÍ"
"05042","ANTIOQUIA","SANTA FÉ DE ANTIOQUIA"
"05044","ANTIOQUIA","ANZÁ"
"05045","ANTIOQUIA","APARTADÓ"
"05051","ANTIOQUIA","ARBOLETES"
"05055","ANTIOQUIA","ARGELIA"
"05059","ANTIOQUIA","ARMENIA"
"05079","ANTIOQUIA","BARBOSA"
"05086","ANTIOQUIA","BELMIRA"
"05088","ANTIOQUIA","BELLO"
"05091","ANTIOQUIA","BETANIA"
"05093","ANTIOQUIA","BETULIA"
"05101","ANTIOQUIA","CIUDAD BOLÍVAR"
"05107","ANTIOQUIA","BRICEÑO"
"05113","ANTIOQUIA","BURITICÁ"
"05120","ANTIOQUIA","CÁCERES"
"05125","ANTIOQUIA","CAICEDO"
"05129","ANTIOQUIA","CALDAS"
"05134","ANTIOQUIA","CAMPAMENTO"
"05138","ANTIOQUIA","CAÑASGORDAS"
"05142","ANTIOQUIA","CARACOLÍ"
"05145","ANTIOQUIA","CARAMANTA"
"05147","ANTIOQUIA","CAREPA"
"05148","ANTIOQUIA","EL CARMEN DE VIBORAL"
"05150","ANTIOQUIA","CAROLINA"
"05154","ANTIOQUIA","CAUCASIA"
"05172","ANTIOQUIA","CHIGORODÓ"
"05190","ANTIOQUIA","CISNEROS"
"05197","ANTIOQUIA","COCORNÁ"
"05206","ANTIOQUIA","CONCEPCIÓN"
"05209","ANTIOQUIA","CONCORDIA"
"05212","ANTIOQUIA","COPACABANA"
"05234","ANTIOQUIA","DABEIBA"
"05237","ANTIOQUIA","DONMATÍAS"
"05240","ANTIOQUIA","EBÉJICO"
"05250","ANTIOQUIA","EL BAGRE"
"05264","ANTIOQUIA","ENTRERRÍOS"
"05266","ANTIOQUIA","ENVIGADO"
"05282","ANTIOQUIA","FREDONIA"
"05284","ANTIOQUIA","FRONTINO"
"05306","ANTIOQUIA","GIRALDO"
"05308","ANTIOQUIA","GIRARDOTA"
"05310","ANTIOQUIA","GÓMEZ PLATA"
"05313","ANTIOQUIA","GRANADA"
"05315","ANTIOQUIA","GUADALUPE"
"05318","ANTIOQUIA","GUARNE"
"05321","ANTIOQUIA","GUATAPÉ"
